Code,Name,Type,DrainArea,SubBasin,City,State,Responsib,Operator,Latitude,Longitude,Altitude,River,StartDate,EndDate,Status,Origem,IsStudy
60045000,CGH SÃO BENTO MONTANTE,1,520.32,60,CATALÃO,GOIÁS,VALE DO RIO,VALE DO RIO,-17.7731,-47.5361,876.0,RIO SÃO BENTO,2021-08-01,,Ativo,Setor Elétrico,0
60101100,ABADIA DOS DOURADOS,1,,60,ABADIA DOS DOURADOS,MINAS GERAIS,IGAM-MG,IGAM-MG,-18.4919,-47.4069,771.0,RIO DOURADOS,,,Ativo,RHN,0
60110001,UHE EMBORCAÇÃO ABADIA DOS DOURADOS,1,1969.0,60,ABADIA DOS DOURADOS,MINAS GERAIS,CEMIG,CEMIG,-18.4914,-47.4067,784.0,RIO DOURADOS,1998-01-01,,Ativo,Setor Elétrico,0
60134000,BARRA DOS PERDIZES,1,,60,DOURADOQUARA,MINAS GERAIS,IGAM-MG,IGAM-MG,-18.5206,-47.5578,699.0,RIO PERDIZES,,,Ativo,RHN,0
60150050,ESTRELA DO SUL,1,,60,ESTRELA DO SUL,MINAS GERAIS,IGAM-MG,IGAM-MG,-18.7378,-47.6908,757.0,RIO BAGAGEM,,,Ativo,RHN,0
60160080,UHE EMBORCAÇÃO BARRAMENTO,1,28773.0,60,ARAGUARI,MINAS GERAIS,CEMIG,CEMIG,-18.4667,-47.9333,,RIO PARANAÍBA,1999-02-01,,Ativo,Setor Elétrico,0
60179000,UHE ITUMBIARA RIO JORDÃO,1,,60,ARAGUARI,MINAS GERAIS,FURNAS,FURNAS,-18.5883,-48.1272,630.0,RIBEIRÃO JORDÃO,2016-05-01,,Ativo,Setor Elétrico,0
60180054,RIO PARANOÁ,1,,60,BRASÍLIA,DISTRITO FEDERAL,ADASA-DF,ADASA-DF,-15.8056,-47.7069,875.0,RIO PARANOÁ,2022-09-01,,Ativo,RHN,0
60180060,CGH PISSARRÃO MONTANTE,1,382.52,60,ARAGUARI,MINAS GERAIS,AMBAR,AMBAR,-18.6919,-48.0933,,RIO PIÇARRÃO,2016-11-01,,Ativo,Setor Elétrico,0
60180070,CGH PISSARRÃO BARRAMENTO,1,385.0,60,ARAGUARI,MINAS GERAIS,AMBAR,AMBAR,-18.6875,-48.0969,,RIO PIÇARRÃO,2016-11-01,,Ativo,Setor Elétrico,0
