Name,Code,Type,DrainArea,SubBasin,City,State,Responsib,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,QScore,QLabel,IsStudy
PARQUE MOÇOTA,58152010,1,8360.0,58,CAÇAPAVA,SÃO PAULO,ANA,-23.0778,-45.7111,2006-06-03,2014-12-31,9,0.0,8,11.1,0.4925,Limitada,0
TREMEMBÉ,58158000,1,8860.0,58,TREMEMBÉ,SÃO PAULO,ANA,-22.9606,-45.5528,1934-07-04,1971-12-31,38,6.0,33,13.2,0.739,Moderada,0
REMÉDIOS,58170000,1,357.0,58,TAUBATÉ,SÃO PAULO,ANA,-23.0597,-45.5028,1933-10-18,1942-12-31,10,0.1,8,20.0,0.4244,Limitada,0
PINDAMONHANGABA,58183000,1,9600.0,58,PINDAMONHANGABA,SÃO PAULO,ANA,-22.9117,-45.47,1926-01-01,2019-10-31,94,0.1,92,2.1,0.9294,Excelente,0
GUARATINGUETÁ,58204000,1,10800.0,58,GUARATINGUETÁ,SÃO PAULO,ANA,-22.8119,-45.1825,1922-11-20,2019-12-31,98,0.0,96,2.0,0.93,Excelente,0
PILÕES,58207000,1,83.0,58,GUARATINGUETÁ,SÃO PAULO,ANA,-22.6819,-45.2922,1935-01-01,1961-03-14,27,0.3,25,7.4,0.6357,Moderada,0
FAZENDA SANTA CLARA,58220000,1,240.0,58,CACHOEIRA PAULISTA,SÃO PAULO,ANA,-22.6925,-44.9753,1935-12-01,2019-12-31,85,0.1,82,3.5,0.9294,Excelente,0
CRUZEIRO,58230000,1,12200.0,58,CRUZEIRO,SÃO PAULO,ANA,-22.5892,-44.9558,1934-01-03,1980-03-20,47,0.0,45,4.3,0.8,Excelente,0
QUELUZ,58235100,1,12800.0,58,QUELUZ,SÃO PAULO,ANA,-22.54,-44.7728,1934-10-30,2019-12-31,86,9.3,76,11.6,0.8742,Excelente,0
FAZENDA DA BAHIA,58247000,1,126.0,58,RESENDE,RIO DE JANEIRO,ANA,-22.5306,-44.4667,1979-10-04,1983-01-15,5,0.1,3,40.0,0.3619,Limitada,0
PEDRA SELADA,58256000,1,47.0,58,RESENDE,RIO DE JANEIRO,ANA,-22.3383,-44.3972,1947-07-01,1978-12-31,32,5.5,28,12.5,0.667,Moderada,0
PONTE NOVA,58258000,1,190.0,58,RESENDE,RIO DE JANEIRO,ANA,-22.3861,-44.4164,1968-04-05,2018-09-30,51,0.4,48,5.9,0.9176,Excelente,0
GLICÉRIO,58270000,1,407.0,58,BARRA MANSA,RIO DE JANEIRO,ANA,-22.4778,-44.2286,1967-08-07,2018-12-31,52,0.2,48,7.7,0.9188,Excelente,0
BANANAL,58285000,1,67.0,58,BANANAL,SÃO PAULO,ANA,-22.6861,-44.3264,1935-12-01,1940-12-31,6,0.0,5,16.7,0.375,Limitada,0
RIALTO,58287000,1,342.0,58,BARRA MANSA,RIO DE JANEIRO,ANA,-22.5856,-44.2689,1955-01-12,2019-09-30,65,20.5,48,26.2,0.807,Excelente,0
